#Title: Towards Detecting The 2175 Angstrom Dust Feature Associated With Strong
#       High Redshift Mg II Absorption Lines
#Authors: Jiang P., Ge J., Zhou H., Wang J., Wang T.
#Table: Median Composite DR7 Quasar Spectrum
#================================================================================
#Byte-by-byte Description of file: apj387309t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  6 F6.1   0.1nm   Wave   Wavelength; in Angstroms
#   8- 14 F7.3   ---     flamb  Monochromatic flux; arbitrary units
#  16- 20 F5.3   ---   e_flamb  Uncertainty in flamb
#--------------------------------------------------------------------------------
1228.0  90.772 0.067
1229.0  89.398 0.066
1230.0  88.146 0.065
1231.0  87.504 0.065
1232.0  87.144 0.065
1233.0  87.078 0.065
1234.0  87.051 0.064
1235.0  87.051 0.064
1236.0  87.125 0.064
1237.0  86.967 0.063
1238.0  86.289 0.063
1239.0  85.509 0.062
1240.0  84.339 0.061
1241.0  82.497 0.061
1242.0  80.422 0.059
1243.0  77.782 0.059
1244.0  74.888 0.057
1245.0  71.891 0.056
1246.0  69.313 0.055
1247.0  66.884 0.055
1248.0  65.043 0.054
1249.0  63.300 0.054
1250.0  61.689 0.053
1251.0  60.350 0.053
1252.0  59.160 0.052
1253.0  58.127 0.052
1254.0  57.129 0.051
1255.0  56.343 0.051
1256.0  55.686 0.051
1257.0  54.813 0.050
1258.0  54.230 0.050
1259.0  53.848 0.050
1260.0  53.353 0.050
1261.0  52.967 0.049
1262.0  52.359 0.049
1263.0  51.897 0.048
1264.0  51.458 0.048
1265.0  50.780 0.048
1266.0  49.959 0.047
1267.0  49.323 0.047
1268.0  48.706 0.047
1269.0  47.917 0.046
1270.0  47.126 0.046
1271.0  46.325 0.046
1272.0  45.572 0.045
1273.0  45.094 0.045
1274.0  44.434 0.045
1275.0  43.853 0.044
1276.0  43.389 0.044
1277.0  42.962 0.044
1278.0  42.583 0.044
1279.0  42.298 0.044
1280.0  41.812 0.043
1281.0  41.498 0.043
1282.0  41.398 0.043
1283.0  41.303 0.043
1284.0  41.157 0.043
1285.0  41.108 0.042
1286.0  41.002 0.042
1287.0  40.896 0.042
1288.0  40.853 0.042
1289.0  40.877 0.042
1290.0  40.839 0.042
1291.0  40.826 0.042
1292.0  40.863 0.041
1293.0  41.046 0.041
1294.0  41.452 0.041
1295.0  41.620 0.041
1296.0  41.642 0.041
1297.0  41.913 0.041
1298.0  42.183 0.041
1299.0  42.499 0.041
1300.0  42.738 0.041
1301.0  43.119 0.041
1302.0  43.358 0.041
1303.0  43.628 0.041
1304.0  43.835 0.040
1305.0  43.812 0.040
1306.0  43.811 0.040
1307.0  43.698 0.040
1308.0  43.461 0.039
1309.0  43.125 0.040
1310.0  42.811 0.039
1311.0  42.535 0.039
1312.0  42.100 0.039
1313.0  41.485 0.038
1314.0  40.816 0.038
1315.0  40.318 0.038
1316.0  40.050 0.038
1317.0  39.785 0.037
1318.0  39.577 0.037
1319.0  39.271 0.037
1320.0  39.030 0.037
1321.0  38.788 0.037
1322.0  38.692 0.037
1323.0  38.634 0.037
1324.0  38.577 0.036
1325.0  38.609 0.036
1326.0  38.596 0.036
1327.0  38.742 0.036
1328.0  38.814 0.036
1329.0  38.972 0.036
1330.0  39.200 0.036
1331.0  39.436 0.036
1332.0  39.485 0.036
1333.0  39.682 0.036
1334.0  40.064 0.036
1335.0  40.359 0.036
1336.0  40.157 0.035
1337.0  39.931 0.035
1338.0  40.077 0.035
1339.0  40.096 0.035
1340.0  39.568 0.034
1341.0  39.107 0.034
1342.0  39.091 0.034
1343.0  39.025 0.034
1344.0  38.776 0.034
1345.0  38.530 0.034
1346.0  38.394 0.034
1347.0  38.282 0.034
1348.0  38.114 0.033
1349.0  37.967 0.033
1350.0  37.760 0.033
1351.0  37.705 0.033
1352.0  37.619 0.033
1353.0  37.572 0.033
1354.0  37.388 0.033
1355.0  37.348 0.033
1356.0  37.319 0.032
1357.0  37.287 0.032
1358.0  37.292 0.032
1359.0  37.336 0.032
1360.0  37.362 0.032
1361.0  37.346 0.032
1362.0  37.427 0.032
1363.0  37.473 0.032
1364.0  37.488 0.032
1365.0  37.635 0.032
1366.0  37.566 0.031
1367.0  37.585 0.031
1368.0  37.627 0.031
1369.0  37.624 0.031
1370.0  37.616 0.031
1371.0  37.646 0.031
1372.0  37.854 0.031
1373.0  37.957 0.031
1374.0  37.912 0.031
1375.0  38.145 0.031
1376.0  38.469 0.031
1377.0  38.481 0.031
1378.0  38.542 0.031
1379.0  38.848 0.031
1380.0  39.183 0.031
1381.0  39.432 0.030
1382.0  39.671 0.030
1383.0  40.059 0.030
1384.0  40.334 0.030
1385.0  40.806 0.030
1386.0  41.254 0.030
1387.0  41.668 0.030
1388.0  42.188 0.030
1389.0  42.687 0.030
1390.0  43.207 0.031
1391.0  43.765 0.030
1392.0  44.271 0.031
1393.0  44.476 0.030
1394.0  44.768 0.030
1395.0  45.024 0.030
1396.0  45.075 0.030
1397.0  45.172 0.030
1398.0  45.298 0.030
1399.0  45.433 0.030
1400.0  45.483 0.030
1401.0  45.370 0.030
1402.0  45.128 0.030
1403.0  44.811 0.029
1404.0  44.360 0.029
1405.0  43.749 0.029
1406.0  43.047 0.029
1407.0  42.414 0.028
1408.0  41.758 0.028
1409.0  41.223 0.028
1410.0  40.678 0.028
1411.0  40.039 0.028
1412.0  39.519 0.027
1413.0  39.037 0.027
1414.0  38.573 0.027
1415.0  38.233 0.027
1416.0  37.899 0.027
1417.0  37.465 0.027
1418.0  37.150 0.027
1419.0  36.982 0.026
1420.0  36.791 0.026
1421.0  36.541 0.026
1422.0  36.159 0.026
1423.0  35.984 0.026
1424.0  35.905 0.026
1425.0  35.797 0.026
1426.0  35.541 0.026
1427.0  35.246 0.026
1428.0  35.104 0.025
1429.0  35.071 0.025
1430.0  34.946 0.025
1431.0  34.589 0.025
1432.0  34.420 0.025
1433.0  34.395 0.025
1434.0  34.292 0.025
1435.0  34.123 0.025
1436.0  34.008 0.025
1437.0  33.940 0.025
1438.0  33.829 0.025
1439.0  33.716 0.024
1440.0  33.594 0.024
1441.0  33.546 0.024
1442.0  33.365 0.024
1443.0  33.319 0.024
1444.0  33.185 0.024
1445.0  33.136 0.024
1446.0  33.057 0.024
1447.0  32.953 0.024
1448.0  32.941 0.024
1449.0  32.865 0.024
1450.0  32.852 0.024
1451.0  32.876 0.023
1452.0  32.852 0.023
1453.0  32.826 0.023
1454.0  32.859 0.023
1455.0  32.810 0.023
1456.0  32.790 0.023
1457.0  32.805 0.023
1458.0  32.787 0.023
1459.0  32.766 0.023
1460.0  32.694 0.023
1461.0  32.666 0.023
1462.0  32.654 0.023
1463.0  32.644 0.023
1464.0  32.616 0.023
1465.0  32.631 0.023
1466.0  32.586 0.023
1467.0  32.640 0.022
1468.0  32.629 0.022
1469.0  32.587 0.022
1470.0  32.587 0.022
1471.0  32.624 0.022
1472.0  32.690 0.022
1473.0  32.666 0.022
1474.0  32.711 0.022
1475.0  32.714 0.022
1476.0  32.776 0.022
1477.0  32.774 0.022
1478.0  32.855 0.022
1479.0  32.951 0.022
1480.0  32.997 0.022
1481.0  33.050 0.022
1482.0  33.072 0.022
1483.0  33.146 0.022
1484.0  33.240 0.022
1485.0  33.297 0.022
1486.0  33.290 0.022
1487.0  33.290 0.022
1488.0  33.352 0.022
1489.0  33.379 0.021
1490.0  33.395 0.021
1491.0  33.432 0.021
1492.0  33.504 0.021
1493.0  33.538 0.021
1494.0  33.578 0.021
1495.0  33.571 0.021
1496.0  33.648 0.021
1497.0  33.854 0.021
1498.0  34.026 0.021
1499.0  34.069 0.021
1500.0  34.073 0.021
1501.0  34.159 0.021
1502.0  34.298 0.021
1503.0  34.385 0.021
1504.0  34.498 0.021
1505.0  34.604 0.021
1506.0  34.713 0.021
1507.0  34.826 0.021
1508.0  34.997 0.021
1509.0  35.166 0.021
1510.0  35.297 0.021
1511.0  35.490 0.021
1512.0  35.646 0.021
1513.0  35.906 0.021
1514.0  36.045 0.021
1515.0  36.346 0.021
1516.0  36.630 0.021
1517.0  36.990 0.021
1518.0  37.340 0.021
1519.0  37.725 0.021
1520.0  38.154 0.021
1521.0  38.564 0.021
1522.0  39.103 0.021
1523.0  39.582 0.021
1524.0  40.170 0.021
1525.0  40.702 0.021
1526.0  41.442 0.021
1527.0  42.051 0.021
1528.0  42.708 0.021
1529.0  43.421 0.021
1530.0  44.166 0.021
1531.0  44.946 0.021
1532.0  45.736 0.021
1533.0  46.648 0.022
1534.0  47.479 0.022
1535.0  48.357 0.022
1536.0  49.352 0.022
